	2s	2p	CoreTerm	3s	3p	3d	4s	4p	name	long_name
									N	N
	2	3		0	0	0	0	0	N_2s22p3_4So	N($2s^22p^3 {}^4S^o$)
	2	3		0	0	0	0	0	N_2s22p3_2Do	N($2s^22p^3 {}^2D^o$)
	2	3		0	0	0	0	0	N_2s22p3_2Po	N($2s^22p^3 {}^2P^o$)
	2	2	3P	1	0	0	0	0	N_2s22p2_3P_3s_4P	N($2s^22p^2$(${}^3P$)3s ${}^4P$)
	2	2	3P	1	0	0	0	0	N_2s22p2_3P_3s_2P	N($2s^22p^2$(${}^3P$)3s ${}^2P$)
	1	4		0	0	0	0	0	N_2s22p4_4P	N($2s^22p^4$ ${}^4P$)
	2	2	3P	0	1	0	0	0	N_2s22p2_3P_3p_2So	N($2s^22p^2$(${}^3P$)3p ${}^2S^o$)
	2	2	3P	0	1	0	0	0	N_2s22p2_3P_3p_4Do	N($2s^22p^2$(${}^3P$)3p ${}^4D^o$)
	2	2	3P	0	1	0	0	0	N_2s22p2_3P_3p_4Po	N($2s^22p^2$(${}^3P$)3p ${}^4P^o$)
	2	2	3P	0	1	0	0	0	N_2s22p2_3P_3p_4So	N($2s^22p^2$(${}^3P$)3p ${}^4S^o$)
	2	2	3P	0	1	0	0	0	N_2s22p2_3P_3p_2Do	N($2s^22p^2$(${}^3P$)3p ${}^2D^o$)
	2	2	3P	0	1	0	0	0	N_2s22p2_3P_3p_2Po	N($2s^22p^2$(${}^3P$)3p ${}^2P^o$)
	2	2	1D	1	0	0	0	0	N_2s22p2_1D_3s_2D	N($2s^22p^2$(${}^1D$)3s ${}^2D$)
	2	2	3P	0	0	0	1	0	N_2s22p2_3P_4s_4P	N($2s^22p^2$(${}^3P$)4s ${}^4P$)
	2	2	3P	0	0	0	1	0	N_2s22p2_3P_4s_2P	N($2s^22p^2$(${}^3P$)4s ${}^2P$)
	2	2	3P	0	0	1	0	0	N_2s22p2_3P_3d_2P	N($2s^22p^2$(${}^3P$)3d ${}^2P$)
	2	2	3P	0	0	1	0	0	N_2s22p2_3P_3d_4F	N($2s^22p^2$(${}^3P$)3d ${}^4F$)
	2	2	3P	0	0	1	0	0	N_2s22p2_3P_3d_4P	N($2s^22p^2$(${}^3P$)3d ${}^4P$)
	2	2	3P	0	0	1	0	0	N_2s22p2_3P_3d_2F	N($2s^22p^2$(${}^3P$)3d ${}^2F$)
	2	2	3P	0	0	1	0	0	N_2s22p2_3P_3d_4D	N($2s^22p^2$(${}^3P$)3d ${}^4D$)
	2	2	3P	0	0	1	0	0	N_2s22p2_3P_3d_2D	N($2s^22p^2$(${}^3P$)3d ${}^2D$)
	2	2	3P	0	0	0	0	1	N_2s22p2_3P_4p_2So	N($2s^22p^2$(${}^3P$)4p ${}^2S^o$)
	2	2	3P	0	0	0	0	1	N_2s22p2_3P_4p_4Do	N($2s^22p^2$(${}^3P$)4p ${}^4D^o$)
	2	2	3P	0	0	0	0	1	N_2s22p2_3P_4p_4Po	N($2s^22p^2$(${}^3P$)4p ${}^4P^o$)
	2	2	3P	0	0	0	0	1	N_2s22p2_3P_4p_2Do	N($2s^22p^2$(${}^3P$)4p ${}^2D^o$)
	2	2	3P	0	0	0	0	1	N_2s22p2_3P_4p_4So	N($2s^22p^2$(${}^3P$)4p ${}^4S^o$)
	2	2	3P	0	0	0	0	1	N_2s22p2_3P_4p_2Po	N($2s^22p^2$(${}^3P$)4p ${}^2P^o$)
